"","Destination.City","Origin.City","Airline.Status","Age","Gender","Price.Sensitivity","Year.of.First.Flight","Flights.Per.Year","Loyalty","Type.of.Travel","Total.Freq.Flyer.Accts","Shopping.Amount.at.Airport","Eating.and.Drinking.at.Airport","Class","Day.of.Month","Flight.date","Partner.Code","Partner.Name","Origin.State","Destination.State","Scheduled.Departure.Hour","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","Flight.cancelled","Flight.time.in.minutes","Flight.Distance","Likelihood.to.recommend","olong","olat","dlong","dlat","freeText"
"9748","Boston, MA","Charlotte, NC","Blue",64,"Female",1,2008,19,-0.3571,"Personal Travel",0,0,45,"Business",24,"2/24/14","US","Southeast Airlines Co.","North Carolina","Massachusetts",11,0,0,"No",93,728,7,-80.8158,35.2497,-71.1407,42.3731,NA
"9749","Philadelphia, PA","San Francisco, CA","Blue",79,"Female",2,2003,31,-0.7714,"Personal Travel",0,0,10,"Eco",4,"1/4/14","US","Southeast Airlines Co.","California","Pennsylvania",8,8,6,"No",293,2521,3,-122.1585,37.6712,-75.2984,39.9733,NA
"9750","Houston, TX","Miami, FL","Platinum",59,"Female",1,2008,10,-0.1765,"Business travel",0,0,60,"Eco",15,"3/15/14","AA","Paul Smith Airlines Inc.","Florida","Texas",12,13,15,"No",157,964,9,-80.2314,26.1756,-95.3935,29.7843,NA
"9751","Miami, FL","Jacksonville, FL","Blue",17,"Male",2,2003,34,-0.7436,"Mileage tickets",4,0,15,"Eco",17,"3/17/14","MQ","EnjoyFlying Air Services","Florida","Florida",17,1,2,"No",58,335,8,-81.6427,30.2401,-80.2314,26.1756,NA
"9752","Houston, TX","Pittsburgh, PA","Blue",17,"Male",1,2012,29,-0.4872,"Business travel",1,0,115,"Eco",22,"3/22/14","WN","Cheapseats Airlines Inc.","Pennsylvania","Texas",14,0,0,"No",169,1131,9,-79.951,40.457,-95.3935,29.7843,NA
"9753","Aguadilla, PR","New York, NY","Blue",40,"Female",2,2012,6,0.25,"Business travel",1,210,210,"Eco",15,"1/15/14","B6","OnlyJets Airlines Inc.","New York","Puerto Rico",6,0,0,"No",201,1576,8,-73.9702,40.7184,-67.041,18.3707,NA
"9754","Cleveland, OH","Chicago, IL","Silver",55,"Female",1,2010,8,-0.6,"Business travel",1,45,90,"Eco",4,"3/4/14","MQ","EnjoyFlying Air Services","Illinois","Ohio",11,4,7,"No",47,315,8,-87.8954,41.8271,-81.6054,41.4436,NA
"9755","Miami, FL","Houston, TX","Blue",75,"Female",2,2004,44,-0.913,"Personal Travel",0,0,70,"Eco",25,"3/25/14","OU","Oursin Airlines Inc.","Texas","Florida",21,0,0,"No",104,964,6,-95.3935,29.7843,-80.2314,26.1756,NA
"9756","San Juan, PR","New York, NY","Blue",49,"Female",1,2004,9,-0.8,"Business travel",0,0,30,"Eco",22,"2/22/14","AA","Paul Smith Airlines Inc.","New York","Puerto Rico",8,5,0,"No",203,1598,3,-73.9702,40.7184,-66.1162,18.2882,NA
"9757","Houston, TX","Las Vegas, NV","Blue",59,"Female",2,2010,16,-0.6842,"Personal Travel",0,30,10,"Eco",19,"1/19/14","OU","Oursin Airlines Inc.","Nevada","Texas",13,0,0,"No",150,1222,6,-115.1672,36.1349,-95.3935,29.7843,NA
"9758","Charlotte, NC","Wilmington, NC","Blue",47,"Female",1,2004,6,0.5385,"Mileage tickets",2,0,80,"Eco",15,"3/15/14","US","Southeast Airlines Co.","North Carolina","North Carolina",7,0,0,"No",41,185,8,-77.8963,34.2166,-80.8158,35.2497,NA
"9759","Houston, TX","Birmingham, AL","Blue",42,"Female",1,2012,7,0.6,"Personal Travel",3,365,20,"Eco",21,"3/21/14","WN","Cheapseats Airlines Inc.","Alabama","Texas",19,4,0,"No",88,570,8,-86.792,33.4691,-95.3935,29.7843,NA
"9760","San Francisco, CA","Philadelphia, PA","Blue",65,"Female",1,2011,42,-0.75,"Business travel",1,0,90,"Eco",16,"1/16/14","US","Southeast Airlines Co.","Pennsylvania","California",7,5,0,"No",320,2521,8,-75.2984,39.9733,-122.1585,37.6712,NA
"9761","Buffalo, NY","Atlanta, GA","Blue",85,"Female",2,2009,5,0.3333,"Personal Travel",0,0,90,"Eco Plus",6,"3/6/14","DL","Sigma Airlines Inc.","Georgia","New York",21,30,16,"No",92,712,3,-84.3319,33.8241,-78.8237,42.9249,NA
"9762","Orlando, FL","Kansas City, MO","Blue",75,"Male",1,2005,23,-0.4839,"Personal Travel",0,0,25,"Eco",27,"1/27/14","WN","Cheapseats Airlines Inc.","Missouri","Florida",18,1,0,"No",125,1072,6,-94.5949,39.0398,-81.4112,28.5844,NA
"9763","Salt Lake City, UT","Baltimore, MD","Blue",18,"Female",1,2008,0,1,"Business travel",0,0,114,"Eco",7,"2/7/14","DL","Sigma Airlines Inc.","Maryland","Utah",7,0,0,"No",273,1865,10,-76.6478,39.2341,-111.9295,40.6408,NA
"9764","Detroit, MI","Denver, CO","Blue",66,"Male",1,2010,13,-0.1304,"Business travel",0,0,97,"Eco",18,"3/18/14","DL","Sigma Airlines Inc.","Colorado","Michigan",16,79,72,"No",139,1123,10,-104.9551,39.7108,-83.2276,42.49,NA
"9765","New Orleans, LA","Houston, TX","Blue",27,"Female",1,2011,13,-0.3684,"Personal Travel",0,0,30,"Eco Plus",9,"1/9/14","OU","Oursin Airlines Inc.","Texas","Louisiana",12,14,7,"No",45,305,1,-95.3935,29.7843,-90.1437,29.9547,NA
"9766","Denver, CO","Minneapolis, MN","Blue",56,"Female",1,2008,15,0.1667,"Business travel",2,60,60,"Eco",5,"3/5/14","WN","Cheapseats Airlines Inc.","Minnesota","Colorado",14,37,12,"No",91,680,7,-93.2798,44.9782,-104.9551,39.7108,NA
"9767","Baltimore, MD","Hartford, CT","Platinum",60,"Male",1,2004,3,0.4,"Business travel",0,0,45,"Eco",18,"2/18/14","WN","Cheapseats Airlines Inc.","Connecticut","Maryland",7,2,4,"No",67,283,4,-72.6988,41.7401,-76.6478,39.2341,NA
"9768","Los Angeles, CA","Santa Barbara, CA","Silver",40,"Male",1,2010,6,0,"Mileage tickets",3,0,65,"Eco",31,"1/31/14","OO","Northwest Business Airlines Inc.","California","California",6,0,0,"No",25,89,9,-119.7241,34.4275,-118.1043,33.9827,NA
"9769","Baltimore, MD","Indianapolis, IN","Silver",45,"Female",1,2003,31,-0.4762,"Personal Travel",1,5,70,"Eco",12,"3/12/14","WN","Cheapseats Airlines Inc.","Indiana","Maryland",6,0,0,"No",69,516,9,-86.1455,39.8113,-76.6478,39.2341,NA
"9770","Chicago, IL","St. Louis, MO","Gold",59,"Male",1,2011,60,-0.9355,"Business travel",0,0,30,"Eco",2,"2/2/14","WN","Cheapseats Airlines Inc.","Missouri","Illinois",9,0,0,"No",39,251,10,-90.3409,38.6307,-87.8954,41.8271,NA
"9771","Chicago, IL","Tucson, AZ","Blue",27,"Female",1,2004,24,-0.1163,"Personal Travel",2,65,15,"Eco",27,"3/27/14","AA","Paul Smith Airlines Inc.","Arizona","Illinois",11,53,40,"No",169,1437,3,-110.9461,32.2549,-87.8954,41.8271,NA
"9772","Phoenix, AZ","Reno, NV","Blue",49,"Female",0,2008,6,0.2,"Business travel",0,0,0,"Eco",19,"1/19/14","US","Southeast Airlines Co.","Nevada","Arizona",6,0,0,"No",81,601,8,-119.7959,39.5326,-111.97,33.4941,NA
"9773","Denver, CO","Salt Lake City, UT","Blue",52,"Male",2,2004,15,-0.5,"Business travel",0,0,0,"Business",2,"1/2/14","F9","GoingNorth Airlines Inc.","Utah","Colorado",10,25,17,"No",54,391,9,-111.9295,40.6408,-104.9551,39.7108,NA
"9774","Denver, CO","Rapid City, SD","Blue",42,"Male",1,2011,6,0,"Business travel",0,135,125,"Eco",4,"2/4/14","OO","Northwest Business Airlines Inc.","South Dakota","Colorado",9,41,52,"No",57,300,8,-103.2446,44.0837,-104.9551,39.7108,NA
"9775","Houston, TX","Columbus, OH","Blue",21,"Female",2,2010,22,-0.76,"Business travel",1,0,30,"Eco",27,"1/27/14","EV","FlyFast Airways Inc.","Ohio","Texas",5,4,10,"No",164,986,6,-82.9685,40.0212,-95.3935,29.7843,NA
"9776","Chicago, IL","Fort Wayne, IN","Blue",70,"Female",0,2007,29,-0.9333,"Personal Travel",0,60,255,"Eco",19,"1/19/14","OO","Northwest Business Airlines Inc.","Indiana","Illinois",16,13,18,"No",36,157,3,-85.1389,41.1004,-87.8954,41.8271,NA
"9777","Madison, WI","New York, NY","Blue",55,"Female",1,2003,0,1,"Mileage tickets",0,25,65,"Eco",21,"2/21/14","EV","FlyFast Airways Inc.","New York","Wisconsin",13,25,2,"No",116,812,10,-73.9702,40.7184,-89.4299,43.0874,NA
"9778","Orlando, FL","Detroit, MI","Blue",24,"Female",1,2003,38,-0.6889,"Business travel",0,0,0,"Eco",1,"2/1/14","FL","FlyHere Airways","Michigan","Florida",8,0,39,"No",134,957,6,-83.2276,42.49,-81.4112,28.5844,NA
"9779","Chicago, IL","Houston, TX","Blue",58,"Female",1,2006,37,-0.5745,"Business travel",0,0,30,"Eco",11,"3/11/14","OU","Oursin Airlines Inc.","Texas","Illinois",18,8,4,"No",120,925,2,-95.3935,29.7843,-87.8954,41.8271,NA
"9780","Atlanta, GA","Chicago, IL","Blue",51,"Female",1,2012,14,-0.2174,"Business travel",0,0,135,"Eco",13,"3/13/14","DL","Sigma Airlines Inc.","Illinois","Georgia",12,53,37,"No",75,591,4,-87.8954,41.8271,-84.3319,33.8241,NA
"9781","New York, NY","Miami, FL","Silver",64,"Female",1,2009,29,-0.7576,"Business travel",0,30,40,"Eco",20,"1/20/14","DL","Sigma Airlines Inc.","Florida","New York",7,0,0,"No",148,1089,7,-80.2314,26.1756,-73.9702,40.7184,NA
"9782","San Francisco, CA","Chicago, IL","Blue",79,"Male",2,2009,32,-0.8824,"Business travel",0,0,88,"Eco",25,"3/25/14","OU","Oursin Airlines Inc.","Illinois","California",10,3,11,"No",252,1846,5,-87.8954,41.8271,-122.1585,37.6712,NA
"9783","Chicago, IL","Charlotte, NC","Silver",34,"Female",1,2008,15,0.3023,"Business travel",1,31,95,"Eco",22,"1/22/14","US","Southeast Airlines Co.","North Carolina","Illinois",9,0,0,"No",101,599,10,-80.8158,35.2497,-87.8954,41.8271,NA
"9784","Los Angeles, CA","New York, NY","Silver",47,"Male",2,2003,4,0.8571,"Business travel",2,0,120,"Eco",4,"1/4/14","B6","OnlyJets Airlines Inc.","New York","California",22,NA,NA,"Yes",NA,2475,8,-73.9702,40.7184,-118.1043,33.9827,NA
"9785","Atlanta, GA","Charleston, SC","Silver",39,"Female",2,2009,15,-0.7647,"Business travel",0,0,90,"Eco",6,"3/6/14","DL","Sigma Airlines Inc.","South Carolina","Georgia",13,0,8,"No",57,259,10,-80.0155,32.9023,-84.3319,33.8241,NA
"9786","Chicago, IL","New York, NY","Blue",30,"Female",1,2003,26,-0.2093,"Business travel",2,0,60,"Business",27,"3/27/14","WN","Cheapseats Airlines Inc.","New York","Illinois",13,0,0,"No",117,725,10,-73.9702,40.7184,-87.8954,41.8271,NA
"9787","San Francisco, CA","New York, NY","Blue",27,"Female",2,2006,28,-0.4,"Business travel",2,60,70,"Eco",31,"3/31/14","VX","Cool&Young Airlines Inc.","New York","California",18,152,146,"No",375,2586,10,-73.9702,40.7184,-122.1585,37.6712,NA
"9788","San Francisco, CA","Philadelphia, PA","Silver",62,"Male",1,2003,39,-0.7727,"Personal Travel",0,110,55,"Eco",28,"3/28/14","OU","Oursin Airlines Inc.","Pennsylvania","California",18,0,0,"No",351,2521,9,-75.2984,39.9733,-122.1585,37.6712,NA
"9789","Charlotte, NC","San Francisco, CA","Gold",57,"Female",2,2003,4,0,"Personal Travel",0,60,90,"Eco",15,"2/15/14","US","Southeast Airlines Co.","California","North Carolina",22,0,0,"No",240,2296,8,-122.1585,37.6712,-80.8158,35.2497,NA
"9790","Los Angeles, CA","Fresno, CA","Blue",68,"Female",1,2006,18,-0.2857,"Personal Travel",0,15,200,"Eco",6,"3/6/14","OO","Northwest Business Airlines Inc.","California","California",15,6,15,"No",43,209,3,-119.7611,36.7878,-118.1043,33.9827,NA
"9791","Chicago, IL","Orlando, FL","Blue",21,"Male",3,2005,24,-0.5,"Personal Travel",0,0,10,"Eco",13,"1/13/14","FL","FlyHere Airways","Florida","Illinois",10,0,0,"No",132,990,7,-81.4112,28.5844,-87.8954,41.8271,NA
"9792","Houston, TX","Richmond, VA","Blue",74,"Female",1,2005,40,-0.7391,"Personal Travel",0,150,55,"Eco",7,"2/7/14","EV","FlyFast Airways Inc.","Virginia","Texas",14,0,12,"No",200,1157,4,-77.488,37.4779,-95.3935,29.7843,NA
"9793","New York, NY","Columbus, OH","Blue",16,"Male",1,2005,58,-0.7576,"Personal Travel",3,0,15,"Eco",14,"2/14/14","MQ","EnjoyFlying Air Services","Ohio","New York",6,6,0,"No",72,479,3,-82.9685,40.0212,-73.9702,40.7184,NA
"9794","Wichita, KS","Chicago, IL","Blue",54,"Female",1,2004,54,-0.8305,"Business travel",0,0,25,"Eco",18,"2/18/14","MQ","EnjoyFlying Air Services","Illinois","Kansas",15,0,3,"No",101,588,8,-87.8954,41.8271,-97.3273,37.6797,NA
"9795","Los Angeles, CA","Las Vegas, NV","Blue",17,"Male",1,2006,13,-0.8571,"Personal Travel",1,19,45,"Eco",27,"2/27/14","AA","Paul Smith Airlines Inc.","Nevada","California",9,0,0,"No",44,236,4,-115.1672,36.1349,-118.1043,33.9827,NA
"9796","Cincinnati, OH","Detroit, MI","Blue",45,"Female",1,2003,5,0.2857,"Business travel",2,40,75,"Eco Plus",10,"1/10/14","OO","Northwest Business Airlines Inc.","Michigan","Kentucky",13,0,3,"No",48,229,10,-83.2276,42.49,-84.462,39.1855,NA
"9797","Fayetteville, AR","Atlanta, GA","Blue",46,"Female",1,2006,18,-0.8,"Business travel",1,0,30,"Eco",30,"3/30/14","EV","FlyFast Airways Inc.","Georgia","Arkansas",11,66,53,"No",86,589,8,-84.3319,33.8241,-94.1798,36.2674,NA
"9798","Houston, TX","Monroe, LA","Blue",85,"Female",1,2008,9,0.0526,"Personal Travel",0,0,15,"Eco",7,"2/7/14","EV","FlyFast Airways Inc.","Louisiana","Texas",12,3,0,"No",48,262,6,-92.1172,32.521,-95.3935,29.7843,NA
"9799","Tucson, AZ","Los Angeles, CA","Silver",46,"Male",1,2007,20,-0.3793,"Business travel",0,300,30,"Eco",6,"1/6/14","MQ","EnjoyFlying Air Services","California","Arizona",8,NA,NA,"Yes",NA,451,10,-118.1043,33.9827,-110.9461,32.2549,NA
"9800","Boston, MA","New York, NY","Blue",55,"Female",2,2007,36,-0.7143,"Personal Travel",0,60,60,"Eco Plus",2,"1/2/14","B6","OnlyJets Airlines Inc.","New York","Massachusetts",13,118,160,"No",42,187,4,-73.9702,40.7184,-71.1407,42.3731,NA
"9801","Santa Barbara, CA","San Francisco, CA","Blue",64,"Female",1,2005,38,-0.6522,"Personal Travel",0,0,70,"Eco",27,"2/27/14","OO","Northwest Business Airlines Inc.","California","California",15,124,128,"No",61,262,4,-122.1585,37.6712,-119.7241,34.4275,NA
"9802","Detroit, MI","Denver, CO","Blue",80,"Male",1,2007,51,-0.8214,"Personal Travel",0,0,145,"Eco",10,"1/10/14","DL","Sigma Airlines Inc.","Colorado","Michigan",16,15,13,"No",142,1123,4,-104.9551,39.7108,-83.2276,42.49,NA
"9803","Chicago, IL","Philadelphia, PA","Blue",68,"Male",0,2004,48,-0.8824,"Personal Travel",0,0,20,"Eco",16,"1/16/14","OU","Oursin Airlines Inc.","Pennsylvania","Illinois",16,32,27,"No",102,678,1,-75.2984,39.9733,-87.8954,41.8271,NA
"9804","Philadelphia, PA","Atlanta, GA","Blue",31,"Female",1,2011,15,-0.7647,"Business travel",0,0,0,"Eco",7,"3/7/14","DL","Sigma Airlines Inc.","Georgia","Pennsylvania",10,1,0,"No",95,666,8,-84.3319,33.8241,-75.2984,39.9733,NA
"9805","Phoenix, AZ","San Jose, CA","Silver",50,"Female",1,2005,16,-0.2308,"Business travel",0,30,50,"Eco",6,"3/6/14","US","Southeast Airlines Co.","California","Arizona",6,0,0,"No",81,621,9,-121.9451,37.3298,-111.97,33.4941,NA
"9806","Atlanta, GA","Detroit, MI","Blue",66,"Female",1,2007,7,0.1765,"Business travel",0,0,35,"Eco",17,"1/17/14","DL","Sigma Airlines Inc.","Michigan","Georgia",8,5,0,"No",95,594,9,-83.2276,42.49,-84.3319,33.8241,NA
"9807","Denver, CO","Houston, TX","Blue",37,"Female",1,2011,10,0.4595,"Personal Travel",2,44,5,"Eco Plus",23,"3/23/14","OU","Oursin Airlines Inc.","Texas","Colorado",7,0,0,"No",127,862,1,-95.3935,29.7843,-104.9551,39.7108,NA
"9808","Phoenix, AZ","Albuquerque, NM","Blue",55,"Female",1,2012,53,-0.6825,"Business travel",0,0,105,"Eco",10,"2/10/14","OO","Northwest Business Airlines Inc.","New Mexico","Arizona",18,30,13,"No",54,328,10,-106.6281,35.1434,-111.97,33.4941,NA
"9809","Baltimore, MD","Miami, FL","Blue",56,"Female",2,2010,23,-0.7692,"Business travel",1,90,80,"Eco",9,"3/9/14","AA","Paul Smith Airlines Inc.","Florida","Maryland",8,0,0,"No",129,946,10,-80.2314,26.1756,-76.6478,39.2341,NA
"9810","Albuquerque, NM","Houston, TX","Blue",41,"Female",1,2010,12,-0.6,"Business travel",1,190,120,"Eco",11,"3/11/14","WN","Cheapseats Airlines Inc.","Texas","New Mexico",10,0,0,"No",117,759,8,-95.3935,29.7843,-106.6281,35.1434,NA
"9811","Chicago, IL","Tampa, FL","Blue",28,"Female",2,2004,21,-0.2727,"Business travel",1,0,75,"Eco",9,"3/9/14","OU","Oursin Airlines Inc.","Florida","Illinois",11,0,0,"No",144,1012,9,-82.5132,28.0062,-87.8954,41.8271,NA
"9812","Charlotte, NC","Phoenix, AZ","Blue",44,"Female",2,2009,14,0.3171,"Business travel",1,0,60,"Eco",26,"2/26/14","US","Southeast Airlines Co.","Arizona","North Carolina",6,0,2,"No",193,1773,9,-111.97,33.4941,-80.8158,35.2497,NA
"9813","Miami, FL","Phoenix, AZ","Blue",31,"Male",2,2009,44,-0.76,"Mileage tickets",0,0,40,"Eco",25,"1/25/14","AA","Paul Smith Airlines Inc.","Arizona","Florida",23,0,0,"No",214,1972,9,-111.97,33.4941,-80.2314,26.1756,NA
"9814","Key West, FL","Miami, FL","Blue",43,"Male",1,2004,9,-0.6364,"Business travel",0,0,45,"Eco",9,"3/9/14","MQ","EnjoyFlying Air Services","Florida","Florida",17,0,0,"No",30,125,9,-80.2314,26.1756,-81.7515,24.5696,NA
"9815","Chicago, IL","Buffalo, NY","Blue",41,"Female",1,2009,15,0.25,"Business travel",2,0,65,"Eco",18,"3/18/14","WN","Cheapseats Airlines Inc.","New York","Illinois",7,0,27,"No",92,468,7,-78.8237,42.9249,-87.8954,41.8271,NA
"9816","Charlotte, NC","Los Angeles, CA","Platinum",29,"Female",1,2004,48,-0.8462,"Mileage tickets",0,0,90,"Eco",25,"2/25/14","US","Southeast Airlines Co.","California","North Carolina",22,6,0,"No",226,2125,3,-118.1043,33.9827,-80.8158,35.2497,NA
"9817","Houston, TX","Knoxville, TN","Blue",17,"Female",1,2006,6,0.4783,"Business travel",2,0,90,"Eco Plus",1,"1/1/14","EV","FlyFast Airways Inc.","Tennessee","Texas",19,189,184,"No",122,771,5,-84.0244,35.9168,-95.3935,29.7843,NA
"9818","Tampa, FL","Chicago, IL","Platinum",49,"Male",2,2004,18,-0.8,"Business travel",0,0,70,"Eco",20,"1/20/14","WN","Cheapseats Airlines Inc.","Illinois","Florida",7,0,0,"No",128,997,10,-87.8954,41.8271,-82.5132,28.0062,NA
"9819","Buffalo, NY","New York, NY","Blue",27,"Female",1,2009,12,0.0769,"Personal Travel",2,50,10,"Eco",26,"1/26/14","B6","OnlyJets Airlines Inc.","New York","New York",10,0,0,"No",61,301,6,-73.9702,40.7184,-78.8237,42.9249,NA
"9820","Houston, TX","Los Angeles, CA","Blue",29,"Male",1,2007,12,0.2258,"Business travel",2,5,23,"Eco",10,"2/10/14","WN","Cheapseats Airlines Inc.","California","Texas",18,9,0,"No",156,1390,9,-118.1043,33.9827,-95.3935,29.7843,NA
"9821","Las Vegas, NV","Los Angeles, CA","Platinum",67,"Male",2,2006,21,-0.5556,"Business travel",0,75,30,"Eco",27,"2/27/14","WN","Cheapseats Airlines Inc.","California","Nevada",10,152,150,"No",45,236,7,-118.1043,33.9827,-115.1672,36.1349,NA
"9822","Boston, MA","Atlanta, GA","Gold",37,"Female",2,2004,14,0.3488,"Personal Travel",6,117,70,"Eco",9,"2/9/14","FL","FlyHere Airways","Georgia","Massachusetts",21,0,0,"No",119,946,7,-84.3319,33.8241,-71.1407,42.3731,NA
"9823","Oklahoma City, OK","Denver, CO","Blue",85,"Male",1,2012,48,-0.9592,"Personal Travel",0,0,165,"Eco",30,"1/30/14","OO","Northwest Business Airlines Inc.","Colorado","Oklahoma",9,0,0,"No",62,495,4,-104.9551,39.7108,-97.5243,35.5048,NA
"9824","Atlanta, GA","Phoenix, AZ","Blue",36,"Female",1,2011,27,-0.2273,"Personal Travel",2,10,50,"Business",12,"2/12/14","US","Southeast Airlines Co.","Arizona","Georgia",10,NA,NA,"Yes",NA,1587,7,-111.97,33.4941,-84.3319,33.8241,NA
"9825","Philadelphia, PA","Houston, TX","Blue",47,"Male",2,2011,3,0.4,"Business travel",0,0,72,"Eco",1,"2/1/14","OU","Oursin Airlines Inc.","Texas","Pennsylvania",19,37,21,"No",146,1325,8,-95.3935,29.7843,-75.2984,39.9733,NA
"9826","Houston, TX","Dallas, TX","Silver",27,"Female",1,2003,7,-0.1667,"Personal Travel",0,20,270,"Eco",9,"2/9/14","WN","Cheapseats Airlines Inc.","Texas","Texas",18,2,0,"No",43,239,6,-96.972,32.8127,-95.3935,29.7843,NA
"9827","Denver, CO","Minneapolis, MN","Blue",23,"Female",2,2007,1,0.9459,"Business travel",1,0,17,"Eco",28,"3/28/14","OU","Oursin Airlines Inc.","Minnesota","Colorado",6,0,0,"No",102,680,6,-93.2798,44.9782,-104.9551,39.7108,NA
"9828","Phoenix, AZ","San Jose, CA","Blue",75,"Female",2,2012,42,-0.9535,"Personal Travel",0,0,90,"Eco",11,"1/11/14","US","Southeast Airlines Co.","California","Arizona",6,4,0,"No",85,621,4,-121.9451,37.3298,-111.97,33.4941,NA
"9829","Detroit, MI","Atlanta, GA","Blue",39,"Female",1,2011,3,0.4545,"Mileage tickets",1,0,100,"Eco",20,"2/20/14","DL","Sigma Airlines Inc.","Georgia","Michigan",13,0,0,"No",84,594,10,-84.3319,33.8241,-83.2276,42.49,NA
"9830","Columbus, OH","Chicago, IL","Blue",74,"Female",2,2003,7,-0.1667,"Personal Travel",0,15,50,"Eco",10,"1/10/14","MQ","EnjoyFlying Air Services","Illinois","Ohio",13,62,59,"No",48,296,4,-87.8954,41.8271,-82.9685,40.0212,NA
"9831","Miami, FL","Atlanta, GA","Blue",46,"Female",1,2005,44,-0.8333,"Personal Travel",1,0,1,"Eco",24,"1/24/14","DL","Sigma Airlines Inc.","Georgia","Florida",12,0,6,"No",81,594,3,-84.3319,33.8241,-80.2314,26.1756,NA
"9832","Philadelphia, PA","Atlanta, GA","Silver",52,"Female",2,2007,0,1,"Business travel",0,0,0,"Eco",6,"3/6/14","FL","FlyHere Airways","Georgia","Pennsylvania",22,26,18,"No",86,666,8,-84.3319,33.8241,-75.2984,39.9733,NA
"9833","Seattle, WA","Salt Lake City, UT","Blue",26,"Female",1,2007,48,-0.5484,"Mileage tickets",2,0,50,"Eco",9,"1/9/14","AS","FlyToSun Airlines Inc.","Utah","Washington",11,0,10,"No",118,689,9,-111.9295,40.6408,-122.2747,47.4684,NA
"9834","Chicago, IL","Boston, MA","Gold",33,"Male",1,2008,16,-0.4545,"Business travel",0,43,30,"Eco",30,"3/30/14","OU","Oursin Airlines Inc.","Massachusetts","Illinois",17,33,8,"No",122,867,9,-71.1407,42.3731,-87.8954,41.8271,NA
"9835","Sacramento, CA","Atlanta, GA","Gold",50,"Female",1,2004,19,-0.5833,"Personal Travel",0,150,169,"Business",24,"2/24/14","DL","Sigma Airlines Inc.","Georgia","California",19,0,0,"No",274,2092,6,-84.3319,33.8241,-121.3247,38.6386,NA
"9836","New York, NY","Detroit, MI","Blue",35,"Male",1,2012,13,-0.3684,"Business travel",4,0,45,"Eco",20,"2/20/14","MQ","EnjoyFlying Air Services","Michigan","New York",13,13,53,"No",69,502,6,-83.2276,42.49,-73.9702,40.7184,NA
"9837","Los Angeles, CA","San Diego, CA","Blue",65,"Female",1,2003,45,-0.6364,"Personal Travel",0,0,75,"Eco",29,"1/29/14","OO","Northwest Business Airlines Inc.","California","California",6,NA,NA,"Yes",NA,109,7,-117.1288,32.9287,-118.1043,33.9827,NA
"9838","Kansas City, MO","Seattle, WA","Blue",45,"Male",0,2008,0,1,"Business travel",2,0,30,"Business",9,"1/9/14","AS","FlyToSun Airlines Inc.","Washington","Missouri",10,0,0,"No",171,1489,10,-122.2747,47.4684,-94.5949,39.0398,NA
"9839","Hartford, CT","Los Angeles, CA","Silver",71,"Female",1,2006,12,-0.1429,"Personal Travel",0,50,140,"Eco",28,"1/28/14","AA","Paul Smith Airlines Inc.","California","Connecticut",23,3,2,"No",291,2527,9,-118.1043,33.9827,-72.6988,41.7401,NA
"9840","Washington, DC","Portland, OR","Blue",80,"Female",1,2006,46,-0.6727,"Personal Travel",0,0,100,"Business",28,"3/28/14","OU","Oursin Airlines Inc.","Oregon","Virginia",8,1,0,"No",264,2327,4,-122.6511,45.5204,-77.1897,38.8974,NA
"9841","San Jose, CA","Phoenix, AZ","Silver",40,"Female",1,2009,13,0.1613,"Personal Travel",2,65,55,"Eco",27,"3/27/14","WN","Cheapseats Airlines Inc.","Arizona","California",19,31,35,"No",99,621,7,-111.97,33.4941,-121.9451,37.3298,NA
"9842","Houston, TX","Dallas, TX","Blue",45,"Female",1,2003,28,-0.4737,"Business travel",1,0,60,"Eco",27,"3/27/14","WN","Cheapseats Airlines Inc.","Texas","Texas",14,28,30,"No",46,239,7,-96.972,32.8127,-95.3935,29.7843,NA
"9843","Los Angeles, CA","San Diego, CA","Blue",19,"Female",1,2006,11,-0.8333,"Business travel",0,0,55,"Eco",12,"3/12/14","OO","Northwest Business Airlines Inc.","California","California",13,0,0,"No",27,109,9,-117.1288,32.9287,-118.1043,33.9827,NA
"9844","Dallas, TX","Houston, TX","Blue",34,"Female",1,2009,23,-0.7037,"Business travel",1,20,140,"Eco",8,"1/8/14","WN","Cheapseats Airlines Inc.","Texas","Texas",17,22,18,"No",44,239,7,-95.3935,29.7843,-96.972,32.8127,NA
"9845","Orlando, FL","Miami, FL","Blue",50,"Female",2,2008,0,1,"Business travel",0,0,70,"Eco",5,"2/5/14","AA","Paul Smith Airlines Inc.","Florida","Florida",9,1,11,"No",39,192,7,-80.2314,26.1756,-81.4112,28.5844,NA
"9846","Portland, ME","Baltimore, MD","Silver",80,"Female",1,2005,32,-0.6842,"Personal Travel",0,0,140,"Eco Plus",5,"3/5/14","WN","Cheapseats Airlines Inc.","Maryland","Maine",21,30,22,"No",68,452,7,-76.6478,39.2341,-70.3219,43.6637,NA
"9847","Chicago, IL","San Diego, CA","Blue",42,"Male",1,2011,5,-0.1111,"Business travel",3,0,270,"Eco",5,"3/5/14","WN","Cheapseats Airlines Inc.","California","Illinois",12,0,0,"No",213,1728,8,-117.1288,32.9287,-87.8954,41.8271,NA
